Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length_duplicated_0,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,89134715,44,46,2289,53236,494,0,52.02272727,128.6754505,2896,0,1157.304348,821.8359087,622.9335002,1.009707609,1001513.652,2912316.222,10000000,1,89100000,2072900.349,3949893.38,10000000,178,84900000,1887428.511,3884016.35,10000000,47,0,0,0,0,1416,1480,0.493634831,0.516072778,0,2896,610.1648352,809.3587347,655061.5614,0,0,0,1,0,0,0,0,1,616.9444444,52.02272727,1157.304348,1416,0,0,0,0,0,0,44,2289,46,53236,29200,143,7,32,607147.125,1633822.294,4650651,29422,10000000.0,19298.26791,10000000,9964008,0
443,9093889,20,20,3094,8539,851,0,154.7,234.167528874,1615,0,426.95,686.6176807174,1279.2106875287,4.3985581966,233176.641025641,983531.357380223,5833668,0,9093889,478625.736842105,1395639.42993206,5879406,0,9001765,473777.105263158,1396953.10053539,5862395,3,0,0,0,0,412,408,2.1992790983,2.1992790983,0,1615,283.7317073171,520.168339309,270575.101219512,0,0,0,1,0,0,0,0,1,290.825,154.7,426.95,412,0,0,0,0,0,0,20,3094,20,8539,8192,8192,19,20,158662.0,0.0,158662,158662,5833668.0,0.0,5833668,5833668,0
443,4627570,5,1,135,46,46,6,27.0,20.1246117975,46,46,46.0,0.0,39.1134007697,1.2965768211,925514.0,1938680.7365438,4390479,3,4627570,1156892.5,2158129.50120616,4390479,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.0804806842,0.2160961368,6,46,32.4285714286,18.8667003197,355.9523809524,0,1,0,0,1,0,0,0,0,37.8333333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,255,62,4,20,0.0,0.0,0,0,0.0,0.0,0,0,0
52860,101,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,118811.881188119,19801.9801980198,101.0,0.0,101,101,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,9900.9900990099,9900.9900990099,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,118,254,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,294,2,2,86,194,43,43,43.0,0.0,97,97,97.0,0.0,952380.9524,13605.44218,98.0,163.679565,287,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,6802.721088,6802.721088,43,97,64.6,29.57701811,874.8,0,0,0,0,0,0,0,0,1,80.75,43.0,97.0,40,0,0,0,0,0,0,2,86,2,194,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,670237,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,17356.54701,11.93607634,95748.14286,252822.7542,669096,4,889,444.5,560.7356775,841,48,670104,167526.0,334380.1788,669096,4,0,0,0,0,72,112,4.476028629,7.460047714,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
443,24786541,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,0.4841337079,0.0806889513,24786541.0,0.0,24786541,24786541,24786541,24786541.0,0.0,24786541,24786541,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0806889513,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,63668,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,982,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2036.659878,982.0,0.0,982,982,982,982.0,0.0,982,982,0,0.0,0.0,0,0,0,0,0,0,64,0,2036.659878,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
53,141,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,1163120.567,28368.79433,47.0,75.34586916,134,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,14184.39716,14184.39716,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,64,0,0,0,0,0,0,2,66,2,98,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
54588,84,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23809.5238095238,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11904.7619047619,11904.7619047619,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,127,33026,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
1583,47,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,170212.766,42553.19149,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,21276.59574,21276.59574,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
443,429940,9,9,550,5289,189,0,61.1111111111,80.2269350724,1460,0,587.6666666667,642.9031808912,13580.9647857841,41.8663069265,25290.5882352941,39561.3520339909,113418,4,429940,53742.5,53019.4234543207,118916,4,296867,37108.375,56385.7371857648,127805,48,0,0,0,0,192,192,20.9331534633,20.9331534633,0,1460,307.3157894737,511.2865094415,261413.894736842,0,0,0,1,0,0,0,0,1,324.3888888889,61.1111111111,587.6666666667,192,0,0,0,0,0,0,9,550,9,5289,8192,980,8,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,1750149,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,6643.434359,5.142419303,218768.625,616024.2392,1743343,10,6497,3248.5,3684.733437,5854,643,1750079,350015.8,778898.5065,1743343,10,0,0,0,0,72,132,1.714139768,3.428279535,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,99403668,7,6,379,11595,379,0,54.14285714,143.2485353,4344,0,1932.5,1754.831473,120.4583316,0.130779882,8283639.0,28700000.0,99300000,0,99300000,16600000.0,40500000.0,99300000,0,91326,18265.2,36887.31122,84031,15,0,0,0,0,232,200,0.070419937,0.060359946,0,4344,855.2857143,1459.898702,2131304.22,0,0,0,0,1,0,0,0,0,921.0769231,54.14285714,1932.5,232,0,0,0,0,0,0,7,379,6,11595,251,235,1,32,5.0,0.0,5,5,99300000.0,0.0,99300000,99300000,1
80,5068296,4,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.1838298316,1013659.2,1745392.91821976,4040618,44,5068296,1689432.0,2092923.82309319,4040618,29821,997868,997868.0,0.0,997868,997868,0,0,0,0,136,80,0.7892198877,0.3946099439,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,136,0,0,0,0,0,0,4,0,2,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,98688734,7,6,338,11595,338,0,48.28571429,127.7519919,5792,0,1932.5,2181.008184,120.9155242,0.131727295,8224061.167,28500000.0,98700000,0,98700000,16400000.0,40300000.0,98700000,0,12416,2483.2,3560.704312,8062,47,0,0,0,0,232,200,0.070930082,0.060797213,0,5792,852.3571429,1667.203721,2779568.247,0,0,0,0,1,0,0,0,0,917.9230769,48.28571429,1932.5,232,0,0,0,0,0,0,7,338,6,11595,274,235,1,32,5.0,0.0,5,5,98700000.0,0.0,98700000,98700000,1
52128,33,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,60606.06061,33.0,0.0,33,33,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,30303.0303,30303.0303,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,939,237,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,57290850,11,12,591,5230,228,0,53.72727273,80.20983844,1850,0,435.8333333,705.9645669,101.6043574,0.401460268,2604129.545,12200000.0,57100000,3,57300000,5729081.5,18100000.0,57100000,4,57300000,5206478.364,17200000.0,57100000,3,0,0,0,0,232,252,0.192002737,0.209457531,0,1850,242.5416667,529.3929238,280256.8678,0,0,0,1,0,0,0,0,1,253.0869565,53.72727273,435.8333333,232,0,0,0,0,0,0,11,591,12,5230,8192,31,10,20,155627.0,0.0,155627,155627,57100000.0,0.0,57100000,57100000,0
4321,21,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,380952.381,95238.09524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,47619.04762,47619.04762,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
53,148,2,2,88,144,44,44,44.0,0.0,72,72,72.0,0.0,1567567.56756757,27027.027027027,49.3333333333,80.2516874174,142,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,13513.5135135135,13513.5135135135,44,72,55.2,15.3362316101,235.2,0,0,0,0,0,0,0,0,1,69.0,44.0,72.0,40,0,0,0,0,0,0,2,88,2,144,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,13999,4,1,24,0,6,6,6.0,0.0,0,0,0.0,0.0,1714.408172,357.1683692,3499.75,5693.739918,12013,18,13999,4666.333333,6362.402796,12013,987,0,0.0,0.0,0,0,0,0,0,0,80,32,285.7346953,71.43367383,0,6,5.0,2.449489743,6.0,1,0,0,0,0,0,0,0,0,6.0,6.0,0.0,80,0,0,0,0,0,0,4,24,1,0,0,235,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
2701,13,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,615384.6154,153846.1538,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,76923.07692,76923.07692,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
80,38682,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,300579.0807,180.9627217,6447.0,13943.2468,34826,4,3207,1603.5,1774.130914,2858,349,38678,12892.66667,19042.80794,34826,575,0,0,0,0,72,92,77.55545215,103.4072695,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
56737,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,1
80,115859984,18,17,950,3932,430,0,52.77777778,137.2419742,1460,0,231.2941176,491.1596946,42.13706779,0.302088769,3407646.588,4719186.214,10000000,69,116000000,6815293.176,4648979.741,10000000,6129,110000000,6898230.188,4792053.013,10000000,167,0,0,0,0,372,484,0.155359939,0.146728831,0,1460,135.6111111,357.6726578,127929.7302,0,0,0,1,0,0,0,0,0,139.4857143,52.77777778,231.2941176,372,0,0,0,0,0,0,18,950,17,3932,8192,980,17,20,33959.0,23590.44811,104802,23609,9999417.364,4087.385773,10000000,9993167,0
80,98338736,6,6,311,11595,311,0,51.83333333,126.9652183,5792,0,1932.5,2181.008184,121.0713142,0.122027194,8939885.091,29600000.0,98300000,4,98300000,19700000.0,44000000.0,98300000,4,46491,9298.2,14827.78819,34155,45,0,0,0,0,200,200,0.061013597,0.061013597,0,5792,915.8461538,1717.16767,2948664.808,0,0,0,0,1,0,0,0,1,992.1666667,51.83333333,1932.5,200,0,0,0,0,0,0,6,311,6,11595,251,235,1,32,994.0,0.0,994,994,98300000.0,0.0,98300000,98300000,1
5226,60,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,133333.3333,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,16666.66667,16666.66667,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
1145,53,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,113207.5472,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,18867.92453,18867.92453,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,1
53,128649,1,1,52,223,52,52,52.0,0.0,223,223,223.0,0.0,2137.5992040358,15.5461760294,128649.0,0.0,128649,128649,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,7.7730880147,7.7730880147,52,223,109.0,98.7268960314,9747.0,0,0,0,0,0,0,0,0,1,163.5,52.0,223.0,20,0,0,0,0,0,0,1,52,1,223,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,10487637,9,8,1264,5681,725,0,140.4444444444,250.9671846632,2883,0,710.125,1068.3896343162,662.2082743711,1.6209561792,655477.3125,2482636.84211127,9963962,26,10427950,1303493.75,3499844.70657435,9963962,216,10387186,1483883.71428571,3785241.38511107,10067252,194,0,0,0,0,296,252,0.8581532713,0.7628029078,0,2883,385.8333333333,767.9690748982,589776.5,0,0,0,1,0,0,0,0,0,408.5294117647,140.4444444444,710.125,296,0,0,0,0,0,0,9,1264,8,5681,29200,5644,3,32,463988.0,0.0,463988,463988,9963962.0,0.0,9963962,9963962,0
80,756347,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,15380.50657,11.89930019,94543.375,267139.9834,755681,3,525,262.5,366.9884194,522,3,756280,151256.0,337883.9189,755681,3,0,0,0,0,72,132,3.966433396,7.932866793,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,2,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0,0,0,64,0,1000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,99618754,10,6,826,11595,413,0,82.6,174.1360898,5792,0,1932.5,2181.008184,124.6853579,0.160612328,6641250.267,25600000.0,99300000,1,99500000,11100000.0,33100000.0,99300000,1,348390,69678.0,99765.85055,215890,46,0,0,0,0,328,200,0.100382705,0.060229623,0,5792,730.6470588,1530.05498,2341068.243,0,0,0,0,1,0,0,0,0,776.3125,82.6,1932.5,328,0,0,0,0,0,0,10,826,6,11595,251,235,2,32,1002.0,0.0,1002,1002,99300000.0,0.0,99300000,99300000,1
51796,23,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,521739.130434783,86956.5217391304,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,43478.2608695652,43478.2608695652,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,946,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,5702645,9,6,378,3536,189,0,42.0,75.6389449953,1448,0,589.3333333333,701.291285178,686.3481770301,2.6303583688,407331.785714286,1468165.53713633,5507707,8,5702645,712830.625,1937581.53992091,5507707,17,152712,30542.4,46807.4375532351,106796,48,0,0,0,0,296,200,1.5782150213,1.0521433475,0,1448,244.625,493.0932129594,243140.916666667,0,0,0,1,0,0,0,0,0,260.9333333333,42.0,589.3333333333,296,0,0,0,0,0,0,9,378,6,3536,29200,23,3,32,194921.0,0.0,194921,194921,5507707.0,0.0,5507707,5507707,0
443,1096250,9,7,324,4515,198,0,36.0,73.66817495,1448,0,645.0,716.9223575,4414.139111,14.59521095,73083.33333,244661.6243,955925,15,1096250,137031.25,331821.1697,955957,124,1068002,178000.3333,402871.5133,999777,48,0,0,0,0,296,232,8.209806157,6.385404789,0,1448,284.6470588,540.4693494,292107.1176,0,0,0,1,0,0,0,0,0,302.4375,36.0,645.0,296,0,0,0,0,0,0,9,324,7,4515,29200,122,2,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,482716,2,2,12,11,6,6,6.0,0.0,11,0,5.5,7.778174593,47.6470637,8.286445861,160905.3333,278477.989,482464,35,252,252.0,0.0,252,252,482681,482681.0,0.0,482681,482681,0,0,0,0,40,64,4.14322293,4.14322293,0,11,5.8,3.898717738,15.2,1,0,0,0,0,0,0,0,1,7.25,6.0,5.5,40,0,0,0,0,0,0,2,12,2,11,0,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,98231397,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,118.6687796,0.142520624,7556261.308,25300000.0,91700000,1,97600000,13900000.0,34300000.0,91700000,1,623124,124624.8,274266.1754,615212,17,0,0,0,0,172,132,0.081440357,0.061080267,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,1036.0,0.0,1036,1036,48800000.0,60600000.0,91700000,5933830,1
51289,72,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27777.7777777778,72.0,0.0,72,72,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13888.8888888889,13888.8888888889,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,362,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,25071,2,2,76,332,38,38,38.0,0.0,166,166,166.0,0.0,16273.78246,159.5468868,8357.0,14430.59884,25020,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,64,64,79.77344342,79.77344342,38,166,89.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,111.5,38.0,166.0,64,0,0,0,0,0,0,2,76,2,332,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
