dur,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,dload,sloss,dloss,tcprtt,synack,ackdat,ct_srv_src,ct_dst_ltm,ct_src_ltm,ct_dst_src_ltm,ct_state_ttl,ct_flw_http_mthd,is_sm_ips_ports,label,family,is_attack
0.004811,18,18,4016,2456,31,29,6307212.5,3857825.75,7,7,0.000609,0.000487,0.000122,6,4,4,3,0,0.0,0,0,Benign,0
0.037157,22,24,2054,2478,31,29,422208.4688,511343.7813,6,6,0.000787,0.000631,0.000156,5,1,1,1,0,0.0,0,0,Benign,0
0.11384,44,46,2766,28404,31,29,190021.0781,1952705.625,7,16,0.000652,0.000519,0.000133,4,2,3,1,0,0.0,0,0,Benign,0
0.234924,10,10,826,5588,62,252,25335.85352,171289.4375,2,3,0.039202,0.030211,0.008991,3,1,1,1,1,1.0,0,1,Exploits,1
14.510819,334,746,17850,1087900,31,29,9811.712891,598969.375,2,370,0.000715,0.000569,0.000146,3,4,2,2,0,1.0,0,0,Benign,0
1.002477,60,14,68193,612,254,252,535130.4375,4540.752441,27,1,0.157193,0.063848,0.093345,1,1,1,1,1,0.0,0,1,Fuzzers,1
0.027908,17,13,14512,676,29,31,3915436.5,178873.4531,2,0,0.0,0.0,0.0,2,2,2,2,0,0.0,0,0,Benign,0
0.004333,12,12,1036,2262,31,29,1753981.0,3829217.5,4,4,0.000755,0.000598,0.000157,4,2,3,1,0,0.0,0,0,Benign,0
8e-06,2,0,114,0,254,0,57000000.0,0.0,0,0,0.0,0.0,0.0,7,4,4,4,2,0.0,0,1,Generic,1
0.001033,2,2,146,178,31,29,565343.6875,689254.625,0,0,0.0,0.0,0.0,2,3,4,2,0,0.0,0,0,Benign,0
0.971542,10,8,564,354,254,252,4183.041016,2552.643066,2,1,0.176072,0.105513,0.070559,6,1,3,1,1,0.0,0,1,Reconnaissance,1
0.51646,10,6,754,268,254,252,10517.75586,3469.774902,2,1,0.212742,0.095327,0.117415,3,1,1,1,1,0.0,0,1,Fuzzers,1
0.387426,6,8,320,1856,31,29,5513.311035,33534.14844,1,2,0.000601,0.000478,0.000123,1,8,2,1,0,0.0,0,0,Benign,0
0.04489,96,98,5486,92746,31,29,967520.5625,16359991.0,7,42,0.000662,0.000531,0.000131,11,4,5,3,0,0.0,0,0,Benign,0
0.03925,44,46,2766,24114,31,29,551133.75,4808152.5,7,16,0.001192,0.001007,0.000185,4,4,4,2,0,0.0,0,0,Benign,0
0.494321,10,6,858,268,254,252,12510.08984,3625.174805,2,1,0.047068,0.009335,0.037733,1,1,1,1,1,1.0,0,1,Exploits,1
0.593034,10,8,1658,354,254,252,20140.49609,4181.884766,2,1,0.109505,0.059924,0.049581,1,1,1,1,1,1.0,0,1,Exploits,1
0.607241,14,6,8928,320,31,29,109228.4688,3517.549072,4,1,0.000681,0.000559,0.000122,3,2,5,2,0,0.0,0,0,Benign,0
0.000969,2,2,146,178,31,29,602683.1875,734778.125,0,0,0.0,0.0,0.0,3,2,5,1,0,0.0,0,0,Benign,0
0.017951,44,46,2750,28874,31,29,1197927.625,12588491.0,7,16,0.00091,0.000751,0.000159,8,12,8,8,0,0.0,0,0,Benign,0
0.107126,4,4,544,304,31,29,30468.79492,17026.67969,0,0,0.0,0.0,0.0,12,5,6,2,0,0.0,0,0,Benign,0
6e-06,2,0,200,0,254,0,133333328.0,0.0,0,0,0.0,0.0,0.0,10,4,7,4,2,0.0,0,1,Exploits,1
0.027786,52,42,37322,3380,31,29,10539121.0,950118.75,18,8,0.000946,0.000794,0.000152,1,1,6,1,0,0.0,0,0,Benign,0
5.130667,40,24,31081,1916,62,252,47251.55469,2864.344727,17,8,0.197483,0.114742,0.082741,1,1,1,1,1,0.0,0,1,Exploits,1
7e-06,2,0,114,0,254,0,65142856.0,0.0,0,0,0.0,0.0,0.0,14,7,7,7,2,0.0,0,1,Generic,1
0.698746,10,10,746,4206,62,252,7693.782715,43346.22266,2,3,0.190054,0.102769,0.087285,6,2,2,1,1,0.0,0,1,Exploits,1
0.076423,52,42,37372,3380,31,29,3836960.25,345445.75,18,8,0.000614,0.000488,0.000126,1,3,2,1,0,0.0,0,0,Benign,0
0.409361,10,8,884,354,254,252,15555.95117,6058.222168,2,1,0.100845,0.052562,0.048283,10,3,3,3,1,0.0,0,1,Fuzzers,1
0.001337,2,2,146,178,31,29,436798.7813,532535.5,0,0,0.0,0.0,0.0,4,3,7,1,0,0.0,0,0,Benign,0
1.257126,14,18,1684,10168,31,29,9952.861328,61117.18359,3,5,0.000632,0.000494,0.000138,1,5,3,1,0,1.0,0,0,Benign,0
0.649612,60,14,68199,612,254,252,825883.75,7007.259766,27,1,0.102501,0.061833,0.040668,2,2,3,2,1,4.0,0,1,Exploits,1
0.41903,10,8,820,2108,62,252,14089.68262,35224.20703,2,2,0.112696,0.085426,0.02727,1,19,2,1,1,1.0,0,1,Exploits,1
0.276639,10,6,742,268,254,252,19317.59375,6477.755859,2,1,0.108013,0.052246,0.055767,1,1,1,1,1,1.0,0,1,Exploits,1
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.0,0.0,0.0,4,3,4,3,2,0.0,0,1,Generic,1
0.401978,28,30,4992,3080,31,29,95806.24219,59266.92578,7,7,0.000765,0.000609,0.000156,8,4,8,4,0,0.0,0,0,Benign,0
4e-06,2,0,1808,0,254,0,1808000000.0,0.0,0,0,0.0,0.0,0.0,6,3,3,3,2,0.0,0,1,Fuzzers,1
0.933274,10,8,934,354,254,252,7209.029785,2657.311768,2,1,0.197832,0.051254,0.146578,2,1,1,1,1,1.0,0,1,Exploits,1
0.66286,10,10,840,4240,62,252,9124.098633,46054.97656,2,3,0.219165,0.121507,0.097658,1,1,1,1,1,1.0,0,1,Exploits,1
0.001081,2,2,146,178,31,29,540240.5625,658649.4375,0,0,0.0,0.0,0.0,1,7,10,5,0,0.0,0,0,Benign,0
0.219799,10,6,808,268,254,252,26496.93555,8152.90332,2,1,0.052667,0.006712,0.045955,2,1,1,1,1,1.0,0,1,Reconnaissance,1
1e-05,2,0,114,0,254,0,45600000.0,0.0,0,0,0.0,0.0,0.0,10,3,3,3,2,0.0,0,1,Generic,1
0.316906,10,6,1308,268,254,252,29737.52344,5654.67334,2,1,0.106985,0.051611,0.055374,1,1,1,1,1,1.0,0,1,Worms,1
0.001048,2,2,146,178,31,29,557251.9375,679389.375,0,0,0.0,0.0,0.0,2,3,2,1,0,0.0,0,0,Benign,0
1.007116,14,18,1684,10168,31,29,12423.59375,76289.13281,3,5,0.000644,0.000521,0.000123,1,2,3,2,0,1.0,0,0,Benign,0
1.009838,14,18,1684,10168,31,29,12390.10645,76083.49219,3,5,0.000681,0.000542,0.000139,2,1,2,1,0,1.0,0,0,Benign,0
0.065859,46,48,2854,31538,31,29,339148.8125,3751165.5,7,17,0.000649,0.000509,0.00014,6,1,5,1,0,0.0,0,0,Benign,0
2e-06,2,0,104,0,254,0,208000000.0,0.0,0,0,0.0,0.0,0.0,2,2,2,2,2,0.0,0,1,DoS,1
8e-06,2,0,114,0,254,0,57000000.0,0.0,0,0,0.0,0.0,0.0,13,4,4,4,2,0.0,0,1,Generic,1
0.01816,16,18,1540,1644,31,29,636123.3125,684140.9375,4,4,0.000571,0.000449,0.000122,9,5,6,4,0,0.0,0,0,Benign,0
0.945221,10,10,1926,5926,62,252,14675.93262,45144.99609,2,3,0.139744,0.090428,0.049316,1,1,1,1,1,1.0,0,1,Generic,1
0.011913,36,38,2334,16528,31,29,1524385.125,10807689.0,7,12,0.000781,0.000623,0.000158,10,7,11,7,0,0.0,0,0,Benign,0
0.347804,52,42,37454,3380,31,29,844935.625,75904.82031,18,8,0.000832,0.000687,0.000145,2,3,1,1,0,0.0,0,0,Benign,0
0.004274,14,6,8928,320,31,29,15518952.0,499766.0313,4,1,0.000697,0.000531,0.000166,4,2,1,1,0,0.0,0,0,Benign,0
4e-06,2,0,114,0,254,0,114000000.0,0.0,0,0,0.0,0.0,0.0,13,3,4,3,2,0.0,0,1,Generic,1
0.015175,8,10,1032,822,31,29,476046.125,390115.3125,2,2,0.000619,0.000479,0.00014,1,3,4,1,0,1.0,0,0,Benign,0
0.001004,2,2,146,178,31,29,581673.3125,709163.375,0,0,0.0,0.0,0.0,2,4,1,1,0,0.0,0,0,Benign,0
0.046427,6,8,320,1922,31,29,46007.71094,289831.3438,1,2,0.00071,0.000553,0.000157,3,3,8,2,0,0.0,0,0,Benign,0
0.051623,46,48,2854,31538,31,29,432675.3438,4785618.5,7,17,0.003927,0.003757,0.00017,2,4,2,1,0,0.0,0,0,Benign,0
1.005721,12,18,1580,10168,31,29,11526.05957,76394.94531,3,5,0.000635,0.000515,0.00012,2,3,3,4,0,1.0,0,0,Benign,0
2.716888,16,18,1540,1644,31,29,4251.923828,4572.878906,4,4,0.004903,0.004093,0.00081,6,5,7,2,0,0.0,0,0,Benign,0
0.987363,10,6,790,268,254,252,5760.799316,1814.935425,2,1,0.188331,0.102596,0.085735,4,2,3,2,1,0.0,0,1,Fuzzers,1
0.028004,42,44,2646,24666,31,29,737894.5625,6886445.0,7,15,0.00076,0.000623,0.000137,9,4,2,2,0,0.0,0,0,Benign,0
1.51309,92,18,118531,784,254,252,619886.4375,3917.810547,43,1,0.179652,0.091989,0.087663,3,1,3,1,1,0.0,0,1,Fuzzers,1
0.378268,10,6,566,268,254,252,10786.00391,4737.381836,2,1,0.114116,0.081071,0.033045,5,2,2,5,1,1.0,0,1,Fuzzers,1
0.022678,44,46,2750,26584,31,29,948231.75,9174354.0,7,16,0.000905,0.00054,0.000365,5,2,6,1,0,0.0,0,0,Benign,0
0.028822,66,68,3926,54818,31,29,1073346.75,14991882.0,7,27,0.000658,0.000528,0.00013,6,2,4,1,0,0.0,0,0,Benign,0
0.144024,72,74,4222,61786,31,29,231294.7813,3385658.0,7,30,0.000869,0.000709,0.00016,5,2,3,2,0,0.0,0,0,Benign,0
0.740726,10,6,830,268,254,252,8067.760742,2419.248047,2,1,0.181946,0.102576,0.07937,1,1,1,1,1,1.0,0,1,Reconnaissance,1
1.147429,14,18,1684,10168,31,29,10904.37891,66960.13281,3,5,0.000649,0.000518,0.000131,1,4,2,1,0,1.0,0,0,Benign,0
0.004627,22,14,1470,1728,31,29,2427490.75,2775016.25,5,4,0.000773,0.000637,0.000136,4,1,4,1,0,0.0,0,0,Benign,0
0.279549,12,16,2062,13368,254,252,54115.73438,358663.4063,3,6,0.050013,0.006033,0.04398,2,1,1,1,1,1.0,0,1,Exploits,1
1.974671,14,12,884,682,254,252,3326.123779,2536.118652,4,4,0.188668,0.103289,0.085379,3,2,3,2,1,0.0,0,1,Fuzzers,1
0.001112,2,2,146,178,31,29,525179.875,640287.8125,0,0,0.0,0.0,0.0,8,5,2,1,0,0.0,0,0,Benign,0
0.003705,8,12,424,8824,31,29,801079.625,17466126.0,1,4,0.000681,0.000512,0.000169,6,5,5,4,0,0.0,0,0,Benign,0
1.361715,12,18,1580,10168,31,29,8512.794922,56422.96875,3,5,0.000633,0.000495,0.000138,2,1,7,1,0,1.0,0,0,Benign,0
0.095106,48,48,2958,31444,31,29,243686.0,2589868.25,7,17,0.000747,0.000611,0.000136,9,2,4,1,0,0.0,0,0,Benign,0
0.999352,10,10,800,1190,62,252,5763.734863,8573.555664,2,2,0.288347,0.114102,0.174245,5,2,2,5,1,1.0,0,1,Analysis,1
1.101089,14,18,1684,10168,31,29,11363.2959,69778.19531,3,5,0.000671,0.000526,0.000145,3,3,6,2,0,1.0,0,0,Benign,0
0.834435,10,8,864,3252,62,252,7458.939453,27285.5293,2,2,0.19381,0.08857,0.10524,1,2,2,1,1,1.0,0,1,Exploits,1
0.01917,16,18,1540,1644,31,29,602608.25,648096.0,4,4,0.000585,0.00046,0.000125,9,9,9,6,0,0.0,0,0,Benign,0
0.342847,62,58,5928,8010,31,29,136107.3594,183685.4375,14,17,0.00067,0.00049,0.00018,1,4,2,1,0,0.0,0,0,Benign,0
4.744362,358,746,19098,1087890,31,29,32113.9082,1831954.75,2,370,0.000666,0.000523,0.000143,2,1,2,1,0,1.0,0,0,Benign,0
0.428071,14,6,7858,268,254,252,136369.9063,4186.22168,4,1,0.082095,0.052791,0.029304,5,2,2,2,1,0.0,0,1,Fuzzers,1
6e-06,2,0,114,0,254,0,76000000.0,0.0,0,0,0.0,0.0,0.0,13,7,7,7,2,0.0,0,1,Generic,1
0.020699,38,40,2438,20006,31,29,917532.25,7538915.0,7,13,0.000863,0.000579,0.000284,12,4,5,3,0,0.0,0,0,Benign,0
0.001778,4,4,520,304,31,29,1754780.625,1025871.75,0,0,0.0,0.0,0.0,9,4,5,3,0,0.0,0,0,Benign,0
7e-06,2,0,114,0,254,0,65142856.0,0.0,0,0,0.0,0.0,0.0,3,3,3,3,2,0.0,0,1,Generic,1
18.636715,356,746,18994,1087890,31,29,8130.617676,466362.0313,2,370,0.000626,0.000506,0.00012,3,5,1,2,0,1.0,0,0,Benign,0
0.521849,10,6,822,268,254,252,11344.27832,3433.943604,2,1,0.044312,0.016758,0.027554,2,1,1,1,1,1.0,0,1,Reconnaissance,1
1.21298,14,18,1684,10168,31,29,10315.0918,63341.51953,3,5,0.000682,0.00054,0.000142,2,2,7,1,0,1.0,0,0,Benign,0
0.301671,10,12,784,7554,62,252,18722.38281,183643.7656,2,4,0.072677,0.023807,0.04887,1,1,1,1,1,1.0,0,1,Exploits,1
4.789434,10,8,532,354,254,252,800.094543,517.806519,2,1,0.389453,0.230479,0.158974,2,1,1,1,1,0.0,0,1,Shellcode,1
0.001143,2,2,146,178,31,29,510936.1563,622922.125,0,0,0.0,0.0,0.0,2,4,3,3,0,0.0,0,0,Benign,0
3.334038,26,52,1234,41720,62,252,2848.197754,98182.44531,7,22,0.114861,0.066703,0.048158,10,1,3,1,1,0.0,0,1,Exploits,1
0.409399,10,6,864,268,254,252,15202.77246,4377.147949,2,1,0.109363,0.043141,0.066222,1,1,9,1,1,1.0,0,1,Exploits,1
5e-06,2,0,114,0,254,0,91200000.0,0.0,0,0,0.0,0.0,0.0,13,4,5,4,2,0.0,0,1,Generic,1
0.003883,8,10,1044,824,31,29,1883080.125,1528714.875,2,2,0.000708,0.000542,0.000166,1,5,3,1,0,1.0,0,0,Benign,0
0.141025,90,92,5174,83812,31,29,290274.75,4702769.0,7,39,0.000753,0.000585,0.000168,8,1,2,1,0,0.0,0,0,Benign,0
0.213898,4,2,536,440,254,60,15035.20313,8228.220703,0,0,0.0,0.0,0.0,3,2,3,2,3,0.0,0,1,Exploits,1
2.733822,28,112,1594,140239,62,252,4500.658691,406718.5,2,54,0.199097,0.078908,0.120189,1,2,1,1,1,1.0,0,1,Exploits,1
6e-06,2,0,200,0,254,0,133333328.0,0.0,0,0,0.0,0.0,0.0,10,3,4,3,2,0.0,0,1,Exploits,1
0.001095,2,2,146,178,31,29,533333.375,650228.3125,0,0,0.0,0.0,0.0,3,1,4,1,0,0.0,0,0,Benign,0
0.684679,10,8,994,354,254,252,10457.45606,3622.135498,2,1,0.143661,0.074911,0.06875,5,1,1,1,1,0.0,0,1,Fuzzers,1
0.836771,10,8,864,1196,62,252,7438.116211,10009.90723,2,2,0.170077,0.093577,0.0765,2,1,1,2,1,1.0,0,1,Analysis,1
0.035942,8,10,1038,820,31,29,202325.9688,164264.6563,2,2,0.001646,0.000545,0.001101,2,3,10,1,0,1.0,0,0,Benign,0
4.003705,344,746,18370,1087890,31,29,36600.09766,2170853.25,2,370,0.000594,0.000469,0.000125,1,5,1,1,0,0.0,0,0,Benign,0
0.015837,48,50,2974,30014,31,29,1471490.75,14858369.0,7,18,0.000735,0.000585,0.00015,6,2,1,1,0,0.0,0,0,Benign,0
0.226047,14,6,8928,320,31,29,293425.7188,9449.362305,4,1,0.000741,0.000551,0.00019,2,4,5,2,0,0.0,0,0,Benign,0
0.001019,2,2,146,178,31,29,573110.9375,698724.25,0,0,0.0,0.0,0.0,3,2,1,1,0,0.0,0,0,Benign,0
1.584835,14,8,7746,354,254,252,36309.14063,1564.831665,4,1,0.155863,0.044231,0.111632,1,2,1,1,1,1.0,0,1,Exploits,1
11.945877,346,746,18474,1087890,31,29,12336.30664,727569.5,2,370,0.001085,0.000935,0.00015,2,2,2,1,0,1.0,0,0,Benign,0
52.193748,22,12,5172,536,254,252,756.718994,75.411331,10,1,0.076574,0.048396,0.028178,6,2,2,2,1,0.0,0,1,Fuzzers,1
0.014598,44,46,2766,27384,31,29,1481846.875,14680915.0,7,16,0.000691,0.000523,0.000168,10,4,4,1,0,0.0,0,0,Benign,0
0.0063,4,4,568,304,31,29,540952.375,289523.8125,0,0,0.0,0.0,0.0,7,2,1,1,0,0.0,0,0,Benign,0
4e-06,2,0,114,0,254,0,114000000.0,0.0,0,0,0.0,0.0,0.0,7,4,3,3,2,0.0,0,1,Generic,1
0.051252,40,42,2542,21450,31,29,386950.75,3268555.25,7,14,0.000623,0.000484,0.000139,9,4,6,4,0,0.0,0,0,Benign,0
0.008905,34,36,2230,15236,31,29,1944974.75,13307580.0,7,11,0.00082,0.000681,0.000139,10,1,8,1,0,0.0,0,0,Benign,0
0.001031,2,2,130,162,31,29,504364.6563,628516.0,0,0,0.0,0.0,0.0,2,1,4,1,0,0.0,0,0,Benign,0
1.423209,12,18,1580,10168,31,29,8144.974121,53985.04688,3,5,0.000697,0.000541,0.000156,14,17,14,10,0,6.0,0,0,Benign,0
0.22668,14,6,8928,320,31,29,292606.3125,9422.975586,4,1,0.000655,0.000517,0.000138,2,2,5,2,0,0.0,0,0,Benign,0
0.001805,4,4,528,304,31,29,1755124.625,1010526.313,0,0,0.0,0.0,0.0,11,5,3,3,0,0.0,0,0,Benign,0
0.002912,6,8,320,1940,31,29,733516.5,4664835.0,1,2,0.000611,0.000478,0.000133,3,6,5,4,0,0.0,0,0,Benign,0
7e-06,2,0,114,0,254,0,65142856.0,0.0,0,0,0.0,0.0,0.0,19,5,5,5,2,0.0,0,1,Generic,1
1.988502,14,12,2264,2160,254,252,8460.639648,7965.79541,4,3,0.135373,0.066111,0.069262,2,2,2,15,1,1.0,0,1,Exploits,1
0.033856,122,126,7814,15228,31,29,1831285.375,3569943.25,30,32,0.000735,0.000596,0.000139,14,4,3,1,0,0.0,0,0,Benign,0
1.424823,16,12,1422,642,254,252,7490.052734,3307.077393,5,3,0.146241,0.078175,0.068066,6,1,2,1,1,0.0,0,1,Fuzzers,1
0.005231,18,18,3848,2456,31,29,5559166.5,3548078.75,7,7,0.000673,0.000527,0.000146,6,6,4,4,0,0.0,0,0,Benign,0
0.215117,10,18,804,15876,62,252,26924.88281,557612.875,2,7,0.054186,0.00717,0.047016,1,1,1,1,1,1.0,0,1,Exploits,1
0.491614,16,18,1244,2574,31,29,18990.50781,39559.49219,4,4,0.001258,0.001135,0.000123,9,3,3,2,0,0.0,0,0,Benign,0
