dur,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,tcprtt,synack,ackdat,ct_srv_src,ct_dst_ltm,ct_src_ltm,ct_dst_src_ltm,ct_state_ttl,ct_flw_http_mthd,is_sm_ips_ports,label
1.15798,12,18,1580,10168,31,29,10010.53613,66350.02344,3,5,105.236543,68.085469,0.00068,0.000523,0.000157,1,1,2,1,0,1.0,0,0
0.037129,122,126,7814,16032,31,29,1669853.75,3426970.75,30,32,0.306517,0.292768,0.000687,0.000526,0.000161,5,3,2,2,0,0.0,0,0
0.001067,2,2,146,178,31,29,547329.0,667291.5,0,0,0.01,0.003,0.0,0.0,0.0,4,2,1,1,0,0.0,0,0
0.39232,10,6,770,268,254,252,14131.32129,4567.699707,2,1,41.177667,67.090398,0.095407,0.056861,0.038546,7,1,2,1,1,0.0,0,0
0.007294,34,24,4908,2344,31,29,5225116.5,2464491.25,9,6,0.22103,0.283,0.000795,0.000625,0.00017,15,4,5,2,0,0.0,0,0
0.521589,10,6,890,268,254,252,12285.53516,3435.655518,2,1,53.023222,89.782,0.158581,0.072668,0.085913,2,1,2,1,1,1.0,0,1
1.217401,28,0,3024,0,254,0,19162.13281,0.0,0,0,45.088926,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0,1
5.203118,32,22,19788,1780,62,252,29474.63477,2613.817383,13,8,167.84252,244.130188,0.282713,0.075733,0.20698,1,1,1,1,1,0.0,0,1
0.892857,10,8,1010,354,254,252,8144.641113,2777.600342,2,1,94.072111,119.060859,0.128595,0.059411,0.069184,1,1,1,1,1,1.0,0,1
8e-06,2,0,200,0,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,15,7,9,7,2,0.0,0,1
0.093017,40,42,2542,22546,31,29,213208.3438,1892987.375,7,14,2.436105,2.255683,0.000798,0.000523,0.000275,9,3,4,1,0,0.0,0,0
0.802397,18,0,2858,0,254,0,26919.3418,0.0,0,0,47.199824,0.0,0.0,0.0,0.0,2,2,3,2,2,0.0,0,1
1e-05,2,0,114,0,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0.0,7,4,4,4,2,0.0,0,1
0.004569,12,12,1064,2260,31,29,1708907.875,3627927.25,4,4,0.382545,0.367182,0.000669,0.000528,0.000141,8,1,2,1,0,0.0,0,0
0.232966,10,8,824,996,62,252,25480.11328,29944.2832,2,2,25.885111,31.451428,0.053474,0.006985,0.046489,1,1,1,1,1,1.0,0,1
4e-06,2,0,114,0,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0.0,13,7,6,6,2,0.0,0,1
2.773033,44,44,2506,3164,31,29,7068.073242,8923.082031,10,13,64.228395,64.476859,0.000658,0.000524,0.000134,2,1,1,1,0,0.0,0,0
1.834132,188,40,225756,2676,62,252,979454.0625,11384.13184,83,8,9.808193,46.81777,0.053738,0.007682,0.046056,1,1,1,1,1,0.0,0,1
2.289803,8,8,468,354,254,252,1432.437622,1083.062622,2,1,326.987848,310.871281,0.113697,0.113697,0.0,6,1,2,1,1,0.0,0,1
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,6,3,3,3,2,0.0,0,1
0.001084,2,2,146,178,31,29,538745.375,656826.5625,0,0,0.011,0.008,0.0,0.0,0.0,2,2,5,2,0,0.0,0,0
0.001066,2,2,146,178,31,29,547842.4375,667917.4375,0,0,0.01,0.006,0.0,0.0,0.0,10,2,3,1,0,0.0,0,0
0.761113,10,20,812,15532,62,252,7683.484863,155099.1719,2,7,84.568111,35.120789,0.141273,0.093232,0.048041,1,1,1,1,1,0.0,0,1
0.272132,10,6,832,268,254,252,22018.72461,6585.039551,2,1,28.511667,51.301199,0.066174,0.015625,0.050549,2,1,1,1,1,1.0,0,1
1.008808,14,18,1684,10168,31,29,12402.75586,76161.17188,3,5,77.574767,59.313647,0.000581,0.000471,0.00011,2,3,3,1,0,1.0,0,0
0.012917,42,44,2646,24924,31,29,1599752.25,15085856.0,7,15,0.307244,0.285767,0.000756,0.000618,0.000138,5,5,5,1,0,0.0,0,0
0.723574,10,8,654,354,254,252,6512.119141,3427.431152,2,1,80.397111,82.511711,0.247035,0.131424,0.115611,2,1,1,1,1,0.0,0,1
0.004172,12,12,1036,2262,31,29,1821668.25,3976989.25,4,4,0.341091,0.329455,0.00069,0.000541,0.000149,5,3,4,1,0,0.0,0,0
0.018251,16,18,1540,1644,31,29,632951.625,680729.8125,4,4,1.1954,1.045529,0.000608,0.00047,0.000138,17,10,11,6,0,0.0,0,0
0.006375,24,26,2048,2410,31,29,2463372.5,2908862.75,6,7,0.259261,0.22704,0.000832,0.000688,0.000144,6,5,5,5,0,0.0,0,0
0.048846,6,6,320,6112,31,29,43729.27344,834295.5625,1,3,9.7692,9.6146,0.000707,0.000512,0.000195,6,4,6,2,0,0.0,0,0
0.001146,2,2,146,178,31,29,509598.5938,621291.4375,0,0,0.01,0.008,0.0,0.0,0.0,6,3,3,1,0,0.0,0,0
0.518061,20,0,1040,0,254,0,15256.8916,0.0,0,0,27.266369,0.0,0.0,0.0,0.0,3,2,2,2,2,0.0,0,1
1.1e-05,2,0,200,0,62,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,1,1,1,1,2,0.0,0,1
0.418331,10,10,780,4650,62,252,13424.77637,80032.32031,2,2,46.370222,43.375332,0.060717,0.027945,0.032772,1,1,1,1,1,1.0,0,1
0.008426,9,11,9568,572,29,32,8075005.5,493709.9375,2,0,1.039125,0.8165,0.0,0.0,0.0,1,3,1,1,0,0.0,0,0
0.01932,16,18,1540,1644,31,29,597929.625,643064.1875,4,4,1.267133,1.109353,0.000588,0.000457,0.000131,14,11,8,6,0,0.0,0,0
0.750109,60,12,68187,526,254,252,715106.75,5151.251465,27,1,12.463898,63.024816,0.119238,0.056829,0.062409,10,1,4,4,1,1.0,0,1
0.020263,44,46,2766,25742,31,29,1067561.625,9942457.0,7,16,0.463,0.436133,0.000781,0.000627,0.000154,2,2,2,1,0,0.0,0,0
0.677228,30,14,26258,764,254,252,299845.8438,8387.131836,12,4,23.352689,49.060152,0.101524,0.038768,0.062756,5,2,2,2,1,0.0,0,1
0.185705,10,6,914,268,254,252,35454.07813,9649.712891,2,1,20.633889,32.067801,0.070631,0.01914,0.051491,1,1,1,1,1,1.0,0,1
0.006739,22,24,1920,4312,31,29,2175990.5,4906366.0,6,6,0.304667,0.26613,0.000746,0.000607,0.000139,1,4,5,1,0,0.0,0,0
0.017355,12,14,1064,2364,31,29,449899.1563,1012273.063,4,4,1.545727,1.286692,0.000773,0.000618,0.000155,7,1,2,1,0,0.0,0,0
0.019654,52,54,3182,36578,31,29,1270377.5,14613208.0,7,20,0.378627,0.3675,0.000667,0.000533,0.000134,2,1,3,1,0,0.0,0,0
0.792162,12,8,1106,708,254,252,10240.33008,6261.345703,3,2,71.93173,102.740859,0.14489,0.072974,0.071916,13,3,7,3,1,0.0,0,1
0.190237,22,24,2054,2478,31,29,82465.55469,99875.42188,6,6,9.041,8.243435,0.000768,0.000628,0.00014,1,2,1,1,0,0.0,0,0
0.000962,2,2,132,164,31,29,548856.5625,681912.6875,0,0,0.007,0.009,0.0,0.0,0.0,4,7,11,1,0,0.0,0,0
1.1e-05,2,0,180,0,254,0,65454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,14,14,15,14,2,0.0,0,1
0.001009,2,2,130,162,31,29,515361.75,642220.0,0,0,0.01,0.009,0.0,0.0,0.0,3,2,8,2,0,0.0,0,0
0.024111,50,54,3078,38534,31,29,1001036.813,12548961.0,7,20,0.484816,0.444679,0.000676,0.000539,0.000137,9,3,3,3,0,0.0,0,0
1.010329,12,18,1580,10168,31,29,11473.49023,76046.51563,3,5,91.813639,59.403413,0.000611,0.000468,0.000143,1,1,4,1,0,1.0,0,0
0.004832,4,4,568,304,31,29,705298.0,377483.4375,0,0,1.264667,1.106333,0.0,0.0,0.0,7,6,4,3,0,0.0,0,0
0.012835,40,42,2542,22592,31,29,1545150.0,13746786.0,7,14,0.320487,0.299829,0.00069,0.000538,0.000152,11,5,7,1,0,0.0,0,0
0.02194,60,62,3598,45458,31,29,1290428.375,16308113.0,7,24,0.366441,0.349508,0.000741,0.000609,0.000132,8,1,8,1,0,0.0,0,0
3.517018,24,22,1276,1604,62,252,2781.9021,3484.770264,7,9,152.860605,161.641518,0.201282,0.122536,0.078746,1,1,2,1,1,0.0,0,1
0.213658,10,6,598,268,254,252,20181.78516,8387.235352,2,1,23.739778,38.104801,0.045909,0.022422,0.023487,13,5,4,13,1,4.0,0,1
0.355812,28,30,4784,3080,31,29,103740.1719,66956.70313,7,7,13.166519,12.251,0.000658,0.000529,0.000129,6,5,4,3,0,0.0,0,0
4e-06,2,0,114,0,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0.0,10,3,4,3,2,0.0,0,1
0.001066,2,2,146,178,31,29,547842.4375,667917.4375,0,0,0.011,0.011,0.0,0.0,0.0,1,1,2,1,0,0.0,0,0
3e-06,2,0,200,0,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0.0,7,2,6,2,2,0.0,0,1
1.714789,122,126,7812,15224,31,29,36146.71875,70464.64844,30,32,14.168835,13.71416,0.000641,0.000515,0.000126,4,1,2,1,0,0.0,0,0
0.795668,122,126,7818,15328,31,29,77962.16406,152897.9375,30,32,6.572975,6.361448,0.000618,0.000485,0.000133,6,3,4,2,0,0.0,0,0
0.001072,2,2,146,178,31,29,544776.125,664179.125,0,0,0.01,0.011,0.0,0.0,0.0,2,3,3,1,0,0.0,0,0
1.1e-05,2,0,78,0,254,0,28363636.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,20,3,5,3,2,0.0,0,1
0.40639,28,30,5096,3080,31,29,96734.66406,58623.48828,7,7,15.039815,13.993,0.00075,0.000588,0.000162,15,5,7,2,0,0.0,0,0
1.281532,12,22,1472,20072,62,252,8427.413086,119606.8438,2,8,116.502911,57.246714,0.13194,0.07875,0.05319,1,1,3,1,1,1.0,0,1
0.043555,72,74,4238,60964,31,29,767764.9375,11046447.0,7,30,0.608704,0.589822,0.000627,0.000495,0.000132,11,6,5,2,0,0.0,0,0
1.157161,14,18,1684,10168,31,29,10812.66992,66396.98438,3,5,88.984767,68.035471,0.000723,0.000555,0.000168,2,4,2,1,0,1.0,0,0
0.037995,46,48,2854,30136,31,29,587866.8125,6213238.5,7,17,0.836289,0.794851,0.000825,0.00063,0.000195,9,4,7,1,0,0.0,0,0
0.005559,22,24,1958,2308,31,29,2689692.25,3183306.25,6,6,0.248238,0.215652,0.000722,0.000588,0.000134,6,3,3,1,0,0.0,0,0
32.094074,332,746,17746,1087900,31,29,4410.284668,270814.3438,2,370,96.959972,43.07858,0.000658,0.00054,0.000118,1,2,1,2,0,1.0,0,0
0.049959,56,58,3390,44134,31,29,533237.25,6945535.5,7,22,0.902455,0.865544,0.000768,0.000613,0.000155,6,5,5,1,0,0.0,0,0
7.6e-05,1,0,60,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,9,6,6,6,2,0.0,0,1
1.009412,14,18,1684,10168,31,29,12395.33496,76115.59375,3,5,77.617462,59.329118,0.000979,0.000813,0.000166,3,1,3,1,0,1.0,0,0
7e-06,2,0,114,0,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0.0,7,4,3,3,2,0.0,0,1
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,23,7,7,7,2,0.0,0,1
2.301804,12,28,788,29468,62,252,2512.811523,98760.79688,2,11,230.091997,80.00526,0.311854,0.141657,0.170197,1,1,1,1,1,1.0,0,1
3.144727,10,10,840,1176,62,252,1923.21936,2694.033447,2,2,349.414111,334.507344,0.265542,0.133145,0.132397,2,1,1,1,1,1.0,0,1
0.242263,10,8,1244,1048,254,252,36984.59766,30281.14063,2,2,26.918111,32.347715,0.058639,0.008155,0.050484,1,1,1,1,1,1.0,0,1
0.021296,46,48,2854,29226,31,29,1048835.5,10750563.0,7,17,0.465822,0.440043,0.000768,0.000604,0.000164,5,4,4,1,0,0.0,0,0
0.554351,10,8,848,354,254,252,11025.50586,4473.700195,2,1,56.871889,74.50643,0.09851,0.032797,0.065713,1,1,1,1,1,1.0,0,1
0.001706,4,4,528,304,31,29,1856975.375,1069167.625,0,0,0.433667,0.218333,0.0,0.0,0.0,7,3,3,3,0,0.0,0,0
3e-06,2,0,104,0,254,0,138666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0.0,4,1,1,1,2,0.0,0,1
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,13,5,4,4,2,0.0,0,1
7e-06,2,0,104,0,254,0,59428572.0,0.0,0,0,0.007,0.0,0.0,0.0,0.0,2,3,3,3,2,0.0,0,1
0.338922,10,8,854,2184,62,252,18151.66992,45107.72656,2,2,37.658,45.94257,0.066728,0.016685,0.050043,2,1,1,1,1,0.0,0,1
0.176957,62,58,5928,8010,31,29,263702.5,355883.0625,14,17,2.949283,3.092351,0.000691,0.000558,0.000133,2,2,2,1,0,0.0,0,0
0.729303,10,8,1078,354,254,252,10651.26563,3400.50708,2,1,76.657111,90.185,0.132332,0.098001,0.034331,4,1,1,1,1,0.0,0,1
1.466755,12,16,1152,7556,62,252,5759.652832,38637.67188,3,5,128.107278,89.922069,0.178115,0.117923,0.060192,3,1,1,1,1,0.0,0,1
0.033914,46,48,2854,29218,31,29,658607.0625,6748835.5,7,17,0.746,0.700787,0.001127,0.000973,0.000154,21,1,2,1,0,0.0,0,0
0.00111,2,2,130,162,31,29,468468.5,583783.8125,0,0,0.011,0.006,0.0,0.0,0.0,2,3,2,1,0,0.0,0,0
0.001037,2,2,130,162,31,29,501446.5,624879.5,0,0,0.01,0.008,0.0,0.0,0.0,3,6,5,2,0,0.0,0,0
1.030958,14,18,1684,10168,31,29,12136.28418,74524.85156,3,5,79.241233,60.615,0.000653,0.000499,0.000154,3,5,2,1,0,1.0,0,0
0.027923,16,18,1540,1644,31,29,413709.1563,444937.875,4,4,1.8398,1.615588,0.000579,0.000455,0.000124,17,10,19,7,0,0.0,0,0
0.679688,10,8,760,2320,62,252,8050.75293,23893.31641,2,2,75.385444,91.103141,0.097982,0.041956,0.056026,1,2,5,1,1,0.0,0,1
2e-06,2,0,114,0,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0.0,4,4,4,4,2,0.0,0,1
0.004772,4,4,568,312,31,29,714165.9375,392288.3438,0,0,1.226,1.059333,0.0,0.0,0.0,5,5,4,3,0,0.0,0,0
0.001215,6,2,2712,104,31,29,14880658.0,342386.8125,0,0,0.243,0.003,0.0,0.0,0.0,15,2,3,2,0,0.0,0,0
0.001718,4,4,520,304,31,29,1816065.125,1061699.625,0,0,0.450333,0.210333,0.0,0.0,0.0,10,6,6,3,0,0.0,0,0
0.000998,2,2,130,162,31,29,521042.0625,649298.5625,0,0,0.001,0.004,0.0,0.0,0.0,10,3,2,2,0,0.0,0,0
2e-06,2,0,264,0,60,0,528000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0.0,3,3,3,3,0,0.0,0,0
1.1e-05,2,0,168,0,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,4,1,2,1,2,0.0,0,1
0.000993,2,2,132,164,31,29,531722.0625,660624.375,0,0,0.008,0.005,0.0,0.0,0.0,3,2,9,2,0,0.0,0,0
9.021347,28,20,8363,1656,62,252,7151.925293,1395.800415,10,8,334.123957,472.923406,0.104596,0.03538,0.069216,2,3,3,3,1,0.0,0,1
0.001058,2,2,130,162,31,29,491493.375,612476.375,0,0,0.011,0.009,0.0,0.0,0.0,3,2,3,1,0,0.0,0,0
0.004735,4,4,568,304,31,29,719746.5625,385216.4688,0,0,1.244333,1.056667,0.0,0.0,0.0,3,6,3,3,0,0.0,0,0
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,4,4,4,4,2,0.0,0,1
0.001085,2,2,130,162,31,29,479262.6875,597235.0,0,0,0.01,0.008,0.0,0.0,0.0,1,3,2,1,0,0.0,0,0
0.00459,22,14,1470,1728,31,29,2447058.75,2797385.5,5,4,0.218571,0.288846,0.000846,0.000678,0.000168,1,3,3,1,0,0.0,0,0
8e-06,2,0,114,0,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0.0,4,1,1,1,2,0.0,0,1
0.100836,128,126,12752,13306,31,29,1003847.813,1047324.375,35,33,0.793984,0.80775,0.000675,0.000546,0.000129,1,2,3,1,0,0.0,0,0
0.001017,2,2,146,178,31,29,574238.0,700098.375,0,0,0.011,0.005,0.0,0.0,0.0,2,2,2,2,0,0.0,0,0
0.591349,10,6,1150,268,254,252,14001.88379,3030.359375,2,1,58.262889,104.859398,0.213839,0.067051,0.146788,2,1,3,3,1,1.0,0,1
0.001003,2,2,146,178,31,29,582253.25,709870.4375,0,0,0.01,0.002,0.0,0.0,0.0,3,3,5,1,0,0.0,0,0
0.01939,8,10,1040,824,31,29,375451.25,306137.1875,2,2,2.716571,2.097778,0.00069,0.000508,0.000182,1,3,2,1,0,1.0,0,0
0.003973,8,10,1040,824,31,29,1832368.375,1494085.0,2,2,0.514857,0.378556,0.000694,0.000561,0.000133,2,2,5,1,0,1.0,0,0
0.249409,10,6,1802,268,254,252,52026.99219,7184.985352,2,1,25.427222,47.522801,0.061852,0.011787,0.050065,2,1,1,1,1,1.0,0,1
0.219686,10,8,988,1022,254,252,32409.89453,32591.97266,2,2,24.409556,28.020143,0.039045,0.016697,0.022348,2,1,2,1,1,1.0,0,1
0.027907,52,40,37346,3276,31,29,10500018.0,915899.1875,18,8,0.539941,0.703487,0.000602,0.000468,0.000134,2,5,3,1,0,0.0,0,0
0.044185,122,126,7806,15226,31,29,1401923.625,2735045.75,30,32,0.362116,0.348984,0.000706,0.000556,0.00015,14,1,10,1,0,0.0,0,0
1e-06,2,0,200,0,254,0,66666664.0,0.0,0,0,0.012,0.0,0.0,0.0,0.0,12,6,6,6,2,0.0,0,1
0.420297,10,6,876,268,254,252,15017.95215,4263.651855,2,1,46.615556,68.468398,0.157319,0.077953,0.079366,2,1,3,1,1,1.0,0,1
0.020884,56,58,3390,42080,31,29,1275617.75,15841793.0,7,22,0.373873,0.361375,0.000794,0.000637,0.000157,6,2,2,1,0,0.0,0,0
0.004155,12,12,1036,2262,31,29,1829121.5,3993261.0,4,4,0.344455,0.327091,0.000694,0.000547,0.000147,7,2,1,1,0,0.0,0,0
0.001153,2,2,130,162,31,29,450997.375,562012.125,0,0,0.011,0.001,0.0,0.0,0.0,1,4,1,1,0,0.0,0,0
0.254793,8,6,462,910,254,252,12716.20508,23831.11133,0,1,36.399,23.5554,0.0,0.0,0.0,1,1,1,1,1,0.0,0,1
4e-06,2,0,200,0,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0.0,14,2,2,2,2,0.0,0,1
0.280438,12,20,1084,20934,62,252,28355.64258,567341.0625,2,8,25.494364,14.050263,0.071707,0.012736,0.058971,1,1,1,1,1,1.0,0,1
0.547781,10,6,3354,268,254,252,44090.61328,3271.380371,2,1,60.864556,99.419398,0.109056,0.050072,0.058984,1,1,1,1,1,0.0,0,1
8e-06,2,0,200,0,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0.0,10,5,4,4,2,0.0,0,1
0.014107,44,44,2750,27746,31,29,1524349.625,15377330.0,7,16,0.320209,0.315605,0.000665,0.000532,0.000133,3,2,3,1,0,0.0,0,0
1.081061,36,22,26514,1874,62,252,190760.75,13238.8457,15,8,30.88363,49.214715,0.110257,0.04754,0.062717,1,1,3,1,1,0.0,0,1
1.178061,12,18,1580,10168,31,29,9839.897461,65219.03125,3,5,107.063182,69.263822,0.000729,0.000571,0.000158,2,5,4,1,0,1.0,0,0
1e-05,2,0,114,0,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0.0,14,7,7,7,2,0.0,0,1
0.886944,10,10,912,4910,62,252,7405.202637,39858.21094,2,3,98.438222,88.451444,0.150716,0.090878,0.059838,1,2,18,1,1,1.0,0,1
